epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4105.94,1.13646,0.71066,1.10651,0.83938,0.82091,0.8727,0.57696,1.3042,0.71519,1.21599,0.00427565,0.00427565,0.00427565
68,4167.35,1.13306,0.70818,1.11055,0.83586,0.83407,0.87794,0.59768,1.28575,0.70127,1.20587,0.00414793,0.00414793,0.00414793
69,4228.52,1.12138,0.692,1.09969,0.80825,0.81411,0.8701,0.57586,1.29969,0.70747,1.21336,0.00402084,0.00402084,0.00402084
70,4289.64,1.11726,0.68205,1.09274,0.84872,0.8203,0.87631,0.6016,1.27851,0.71037,1.20166,0.00389445,0.00389445,0.00389445
71,4350.86,1.10873,0.68324,1.09582,0.84572,0.83959,0.88775,0.60057,1.27626,0.68807,1.19974,0.00376885,0.00376885,0.00376885
72,4412.01,1.08831,0.67062,1.08059,0.85704,0.82733,0.88732,0.60036,1.25355,0.68281,1.19001,0.00364412,0.00364412,0.00364412
73,4472.97,1.09154,0.67534,1.08542,0.85009,0.83884,0.8835,0.6131,1.25755,0.6802,1.19322,0.00352037,0.00352037,0.00352037
74,4534.03,1.08093,0.66258,1.08036,0.85749,0.83838,0.88121,0.60944,1.26058,0.68322,1.18805,0.00339766,0.00339766,0.00339766
75,4595.18,1.07802,0.65592,1.0735,0.87623,0.82286,0.89094,0.61854,1.23617,0.65791,1.17371,0.00327608,0.00327608,0.00327608
76,4656.36,1.06561,0.65367,1.07114,0.86242,0.83784,0.88514,0.61278,1.23045,0.67284,1.17303,0.00315572,0.00315572,0.00315572
77,4717.42,1.06658,0.6567,1.07834,0.85496,0.83103,0.89274,0.6138,1.23066,0.66192,1.17903,0.00303665,0.00303665,0.00303665
78,4778.47,1.05033,0.639,1.06214,0.86791,0.84065,0.89451,0.62345,1.22543,0.65717,1.17864,0.00291897,0.00291897,0.00291897
79,4839.6,1.04002,0.63846,1.06285,0.86662,0.84081,0.9032,0.62907,1.2097,0.64981,1.17165,0.00280275,0.00280275,0.00280275
80,4900.8,1.03189,0.63118,1.06193,0.85524,0.84788,0.89136,0.6341,1.20357,0.66431,1.16622,0.00268806,0.00268806,0.00268806
81,4962.1,1.03472,0.6357,1.06232,0.89408,0.83904,0.89893,0.63413,1.20791,0.65233,1.17044,0.002575,0.002575,0.002575
82,5023.37,1.02319,0.61801,1.05482,0.88087,0.84982,0.90366,0.63926,1.19602,0.64928,1.15697,0.00246363,0.00246363,0.00246363
83,5084.46,1.01913,0.61838,1.05484,0.89367,0.83425,0.90223,0.64329,1.19335,0.63927,1.16139,0.00235404,0.00235404,0.00235404
84,5145.6,1.00982,0.61159,1.05064,0.87562,0.84729,0.90069,0.64927,1.17557,0.62884,1.15135,0.00224629,0.00224629,0.00224629
85,5206.72,0.99821,0.60052,1.04365,0.86332,0.86163,0.89396,0.64787,1.17689,0.63563,1.15341,0.00214046,0.00214046,0.00214046
86,5267.79,0.9967,0.60589,1.04035,0.87516,0.85756,0.90421,0.65083,1.1719,0.6308,1.1502,0.00203663,0.00203663,0.00203663
87,5328.93,0.98224,0.59817,1.0407,0.8689,0.85826,0.90583,0.65157,1.16461,0.62106,1.15668,0.00193486,0.00193486,0.00193486
88,5390.1,0.9828,0.60148,1.0336,0.87891,0.85916,0.90527,0.64279,1.17095,0.6268,1.15198,0.00183523,0.00183523,0.00183523
89,5451.2,0.96062,0.58114,1.02689,0.87908,0.85159,0.90498,0.64206,1.15762,0.61846,1.155,0.0017378,0.0017378,0.0017378
90,5512.26,0.96739,0.58319,1.03093,0.88246,0.84534,0.89989,0.64415,1.1534,0.62343,1.14547,0.00164264,0.00164264,0.00164264
91,5573.4,0.95948,0.58072,1.02561,0.87503,0.86067,0.90762,0.66218,1.13431,0.60431,1.13402,0.00154982,0.00154982,0.00154982
92,5634.79,0.95364,0.57418,1.02404,0.89222,0.8426,0.90166,0.65885,1.14268,0.61295,1.14032,0.0014594,0.0014594,0.0014594
93,5695.91,0.94602,0.57013,1.02024,0.8747,0.86427,0.90812,0.65856,1.13546,0.60699,1.13908,0.00137143,0.00137143,0.00137143
94,5756.98,0.94524,0.57298,1.02343,0.88024,0.8726,0.90717,0.65674,1.13907,0.60769,1.14305,0.00128599,0.00128599,0.00128599
95,5818.07,0.93761,0.56675,1.01336,0.8868,0.8496,0.90427,0.66269,1.1286,0.60539,1.1354,0.00120313,0.00120313,0.00120313
96,5879.34,0.9342,0.56465,1.0157,0.8879,0.84692,0.90346,0.66822,1.12285,0.60146,1.13147,0.0011229,0.0011229,0.0011229
97,5940.56,0.92723,0.55839,1.01401,0.87934,0.85423,0.90649,0.65839,1.12566,0.60028,1.13067,0.00104537,0.00104537,0.00104537
98,6001.65,0.92604,0.55653,1.01328,0.89173,0.84951,0.90855,0.66485,1.11719,0.59256,1.13064,0.000970575,0.000970575,0.000970575
99,6062.66,0.91892,0.55549,1.01043,0.88289,0.86038,0.90915,0.66486,1.10761,0.59196,1.12352,0.000898581,0.000898581,0.000898581
100,6123.83,0.91106,0.54808,1.00533,0.87843,0.86395,0.9089,0.67337,1.10594,0.59555,1.12368,0.000829431,0.000829431,0.000829431
101,6185.03,0.91364,0.54546,1.00405,0.89098,0.86706,0.91031,0.67562,1.09824,0.5895,1.11882,0.000763174,0.000763174,0.000763174
102,6246.18,0.89767,0.54278,1.00484,0.89487,0.86081,0.90865,0.67221,1.09929,0.59306,1.11768,0.000699855,0.000699855,0.000699855
103,6307.21,0.89566,0.54185,0.99954,0.88125,0.86489,0.90632,0.67638,1.08846,0.58674,1.11562,0.000639518,0.000639518,0.000639518
104,6368.28,0.90466,0.54377,1.00205,0.88294,0.85897,0.90843,0.67535,1.09484,0.59494,1.1186,0.000582203,0.000582203,0.000582203
105,6429.38,0.89487,0.54213,1.00239,0.89938,0.84782,0.90877,0.6761,1.09409,0.58956,1.11848,0.00052795,0.00052795,0.00052795
106,6490.62,0.88689,0.53409,1.00054,0.8883,0.86436,0.90927,0.67756,1.0861,0.58621,1.11604,0.000476796,0.000476796,0.000476796
107,6551.73,0.8897,0.53795,0.99717,0.89447,0.85798,0.91009,0.68155,1.09028,0.58456,1.11817,0.000428777,0.000428777,0.000428777
108,6612.89,0.88695,0.53293,0.99879,0.90289,0.85588,0.91203,0.68185,1.08372,0.58346,1.11519,0.000383925,0.000383925,0.000383925
